"ESTABLISHMENT NAME","ADDRESS","ALDERMANIC DISTRICT","INSPECTION DATE","ESTABLISHMENT GRADE"
"J & J FISH AND CHICKEN","405 E CENTER ST","6","09/26/2018","A"
"BREWED CAFE","1208 E BRADY ST","3","09/26/2018","A"
"HOME 2 SUITES- MILWAUKEE AIRPORT","5880 S HOWELL AV","13","09/26/2018","A"
"THE FARMHOUSE PAINT AND WINE STUDIO","4507 S 6TH ST","13","09/26/2018","A"
"PIGGLY WIGGLY SUPERMARKET #35","709 E CAPITOL DR","6","09/25/2018","A"
"RICHARD'S GROCERY","2438 W GREENFIELD AV","8","09/25/2018","A"
"COMPANY BREWING","735 E CENTER ST","3","09/25/2018","A"
"EL TAPAITO (ID #0891)","1701 W LINCOLN AV","12","09/25/2018","MA"
"JAY'S UPTOWN CAFE","5007 W CENTER ST","15","09/25/2018","A"
"MILWAUKEE YACHT CLUB (INDOOR KITCHEN)","1700 N LINCOLN MEMORIAL DR","4","09/25/2018","A"
"PAYLESS FOODS","1841 N 27TH ST","15","09/24/2018","A"
"UP AND UNDER PUB","1216 E BRADY ST","3","09/24/2018","A"
"WELLS FOOD","2131 W WELLS ST","4","09/24/2018","A"
"COURTYARD BY MARRIOTT","4620 S 5TH ST","13","09/24/2018","A"
"QUICK FOOD MARKET","3833 W CENTER ST","15","09/24/2018","A"
"SHI CHAI TEA HOUSE / HOOKAH BAR/KABOB HUB","832 E CENTER ST","3","09/24/2018","A"
"NORTHPOINT - CONCESSIONS MALL","5300 S HOWELL AV","13","09/21/2018","A"
"CLUB GARIBALDI","2501 S SUPERIOR ST","14","09/21/2018","A"
"CLASSIC SLICE PIZZA","2797 S KINNICKINNIC AV","14","09/21/2018","A"
"NED'S PIZZA SOUTH","3246 S 27TH ST","13","09/21/2018","A"
"AMARANTH BAKERY","3329 W LISBON AV","15","09/20/2018","A"
"CONEJITO'S PLACE","539 W VIRGINIA ST","12","09/19/2018","A"
"PETRO MART","3425 W OKLAHOMA AV","11","09/19/2018","A"
"ZOUP!","1433 N JEFFERSON ST","3","09/19/2018","A"
"DIMODA","1758 N WATER ST","3","09/19/2018","A"
"HARBOR HOUSE","550 N HARBOR DR","4","09/18/2018","A"
"LAVISH LOUNGE","721 S CESAR E CHAVEZ DR","12","09/18/2018","A"
"MCDONALDS #5747","2612 W MORGAN AV","13","09/18/2018","A"
"BREMEN CAFE","901 E CLARKE ST","3","09/18/2018","A"
"RALPH'S COFFEE BAR","4538 W LISBON AV","15","09/17/2018","A"
"COLECTIVO COFFEE ROASTERS INC","2999 N HUMBOLDT BL","3","09/17/2018","A"
"WISCONSIN CHEESE MART","215 W HIGHLAND AV","4","09/17/2018","A"
"BILL THE BUTCHER","3533 W NORTH AV","15","09/17/2018","B"
"HYATT PLACE MILWAUKEE WEST","11777 W SILVER SPRING DR","5","09/17/2018","A"
"VILLARD FOODS","5123 W VILLARD AV","1","09/14/2018","A"
